date,motion status
2017-02-18 06:04:00 PM,...
2017-02-18 06:04:02 PM,...
2017-02-18 06:04:04 PM,...
2017-02-18 06:04:06 PM,...
2017-02-18 06:04:08 PM,...
2017-02-18 06:04:10 PM,...
2017-02-18 06:04:12 PM,...
2017-02-18 06:04:14 PM,...
2017-02-18 06:04:16 PM,MOTION DETECTED
2017-02-18 06:04:18 PM,...
2017-02-18 06:04:20 PM,...
2017-02-18 06:04:22 PM,...
2017-02-18 06:04:24 PM,...
2017-02-18 06:04:26 PM,...
2017-02-18 06:04:28 PM,...
2017-02-18 06:04:30 PM,...
2017-02-18 06:04:32 PM,...
2017-02-18 06:04:34 PM,...
2017-02-18 06:04:36 PM,...
2017-02-18 06:04:38 PM,...
2017-02-18 06:04:40 PM,...
2017-02-18 06:04:42 PM,...
2017-02-18 06:04:44 PM,...
2017-02-18 06:04:46 PM,...
2017-02-18 06:04:48 PM,MOTION DETECTED
2017-02-18 06:04:50 PM,MOTION DETECTED
2017-02-18 06:04:52 PM,...
2017-02-18 06:04:54 PM,...
2017-02-18 06:04:56 PM,...
2017-02-18 06:04:58 PM,...
2017-02-18 06:05:00 PM,...
2017-02-18 06:05:02 PM,...
2017-02-18 06:05:04 PM,...
2017-02-18 06:05:06 PM,...
2017-02-18 06:05:08 PM,MOTION DETECTED
2017-02-18 06:05:10 PM,...
2017-02-18 06:05:12 PM,...
2017-02-18 06:05:14 PM,...
2017-02-18 06:05:16 PM,...
2017-02-18 06:05:18 PM,...
2017-02-18 06:05:20 PM,...
2017-02-18 06:05:22 PM,...
2017-02-18 06:05:24 PM,...
2017-02-18 06:05:26 PM,...
2017-02-18 06:05:28 PM,...
2017-02-18 06:05:30 PM,...
2017-02-18 06:05:32 PM,...
2017-02-18 06:05:34 PM,...
2017-02-18 06:05:36 PM,...
2017-02-18 06:05:38 PM,...
2017-02-18 06:05:40 PM,...
2017-02-18 06:05:42 PM,...
2017-02-18 06:05:44 PM,...
2017-02-18 06:05:46 PM,...
2017-02-18 06:05:48 PM,...
2017-02-18 06:05:50 PM,...
2017-02-18 06:05:52 PM,...
2017-02-18 06:05:54 PM,...
2017-02-18 06:05:56 PM,...
2017-02-18 06:05:58 PM,...
2017-02-18 06:06:00 PM,...
2017-02-18 06:06:02 PM,...
2017-02-18 06:06:04 PM,...
2017-02-18 06:06:06 PM,...
2017-02-18 06:06:08 PM,MOTION DETECTED
2017-02-18 06:06:10 PM,...
2017-02-18 06:06:12 PM,...
2017-02-18 06:06:14 PM,...
2017-02-18 06:06:16 PM,...
2017-02-18 06:06:18 PM,...
2017-02-18 06:06:20 PM,...
2017-02-18 06:06:22 PM,...
2017-02-18 06:06:24 PM,...
2017-02-18 06:06:26 PM,...
2017-02-18 06:06:28 PM,...
2017-02-18 06:06:30 PM,MOTION DETECTED
2017-02-18 06:06:32 PM,MOTION DETECTED
2017-02-18 06:06:34 PM,...
2017-02-18 06:06:36 PM,...
2017-02-18 06:06:38 PM,...
2017-02-18 06:06:40 PM,...
2017-02-18 06:06:42 PM,...
2017-02-18 06:06:44 PM,...
2017-02-18 06:06:46 PM,...
2017-02-18 06:06:48 PM,...
2017-02-18 06:06:50 PM,...
2017-02-18 06:06:52 PM,...
2017-02-18 06:06:54 PM,...
2017-02-18 06:06:56 PM,...
2017-02-18 06:06:58 PM,...
2017-02-18 06:07:00 PM,...
2017-02-18 06:07:02 PM,...
2017-02-18 06:07:04 PM,...
2017-02-18 06:07:06 PM,MOTION DETECTED
2017-02-18 06:07:08 PM,...
